MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition 2_Feedr,Condition 2_Norm,Condition 2_PosA,Condition 2_PosN,Condition 2_RRAe,Condition 2_RRAn,Condition 2_RRNn,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Central Air_Y,Garage Finish_None,Garage Finish_RFn,Garage Finish_Unf,Mas Vnr Area,Garage Yr Blt,Year Remod/Add,Full Bath,Year Built,1st Flr SF,Total Bsmt SF,Garage Area,Garage Cars,Price/SF,Kitchen Qual,Exter Qual,Gr Liv Area,Overall Qual,SalePrice
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.05663941461538438,-0.7305105004155094,-1.1634881302484883,-1.0247928895561034,-0.3755370142911952,1.267003337699396,0.06444434325431742,0.25668446752231794,0.3066990922580224,-0.22726989308546644,-0.7710782226945262,-0.6870426580099918,0.3092650614142043,-0.06725371171123777,5.332438459915605
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-0.5712423411944665,-0.690223017150481,-1.11554196603662,-1.0247928895561034,-0.34246844868822607,-0.6726430144946557,-0.38508093687937356,1.1963367366010973,-1.0085595332525896,-0.22726989308546644,-0.7710782226945262,-0.6870426580099918,-1.1944270494036793,-0.776078802768527,5.021189299069938
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.03421506619360399,-0.8110854669455659,-1.2593804586722255,-1.0247928895561034,-0.4416741454971335,0.4324449730053764,0.6297564379678985,-0.7480922162450897,-1.0085595332525896,-0.22726989308546644,0.7371054839109219,-0.6870426580099918,-0.33771825468770084,-0.06725371171123777,5.235528446907549
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.4591205990855646,0.8004138636555669,0.6584661098025154,0.7840282950218381,0.8810684786216327,-0.5960780269080485,-0.2851864301829978,-0.01311667904485634,0.3066990922580224,-0.10863243522913509,0.7371054839109219,-0.6870426580099918,0.20638086435824385,-0.06725371171123777,5.291146761731886
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-0.5712423411944665,0.558688964065397,0.37078912453130425,0.7840282950218381,0.6826570850038177,0.3073888266139178,0.5185102827832982,0.15434610158304493,0.3066990922580224,2.1887428063791066,0.7371054839109219,1.0364462015527445,-0.4346668249904328,1.3503964704033409,5.282168778304642
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-0.5712423411944665,0.6795514138604819,0.5625737813787783,0.7840282950218381,0.7818627818127252,1.1649166875839196,1.233664137541443,0.6288239800287653,0.3066990922580224,2.1887428063791066,0.7371054839109219,1.0364462015527445,0.2301233713711578,1.3503964704033409,5.37383114507383
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.5712423411944665,0.8407013469205953,0.7064122740143839,0.7840282950218381,0.9141370442246018,-0.3357570691135836,-0.13080401074314432,-0.1433655084221129,0.3066990922580224,-0.10863243522913509,0.7371054839109219,-0.6870426580099918,0.6020893145734764,0.6415713793460515,5.276461804173244
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.5712423411944665,0.558688964065397,1.089981587709332,0.7840282950218381,0.6826570850038177,0.07003736509543515,0.264233356647069,-0.24570387436138588,0.3066990922580224,-0.10863243522913509,-0.7710782226945262,-0.6870426580099918,-0.618671254340516,-0.06725371171123777,5.267171728403014
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-0.5712423411944665,0.8004138636555669,0.6584661098025154,0.7840282950218381,0.8810684786216327,-0.9457248035535551,-0.5962215987603496,-0.37130095983231187,0.3066990922580224,-0.10863243522913509,-0.7710782226945262,-0.6870426580099918,-0.06863650854134275,-0.06725371171123777,5.256236533205923
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-0.5712423411944665,0.2766765812101987,0.035165975048224635,-1.0247928895561034,0.45117712578303365,0.8739697347548119,0.9907388598934382,0.25668446752231794,0.3066990922580224,2.1887428063791066,0.7371054839109219,1.0364462015527445,0.004569554748475267,1.3503964704033409,5.326335860928752
