MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Other,Exterior 2nd_Plywood,Exterior 2nd_PreCast,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Central Air_Y,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Garage Finish_None,Garage Finish_RFn,Garage Finish_Unf,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Age House,BsmtFin Type 1,2nd Flr SF,Lot Area,Bsmt Full Bath,Half Bath,Open Porch SF,Wood Deck SF,Lot Frontage,SF Difference,BsmtFin SF 1,Heating QC,Fireplaces,TotRms AbvGrd,Mas Vnr Area,Year Remod/Add,Full Bath,Garage Yr Blt,Year Built,Total Bath,1st Flr SF,Garage Area,Garage Cars,Total Bsmt SF,Price/SF,Kitchen Qual,Exter Qual,Gr Liv Area,Overall Qual,Total House Area,SalePrice
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4461820087871509,0.1322136713942231,-0.7840699461041937,2.784647064948673,1.0874356702205865,-0.7534315984425315,0.2228525637075564,0.9253667224048099,3.371936036690986,0.893196373617511,0.45880464883733857,-2.242022518612994,2.1745098033497494,0.36325405817311435,0.06439687538493351,-1.1618538267056904,-1.0244784431422438,-0.588466402411912,-0.3738066681467417,-0.46400711201731937,1.3293546745480895,0.2625409746145628,0.30932078483042774,0.07874217661043735,-0.2307238819890935,-0.7699097836735579,-0.6860397810879743,0.333246313249131,-0.06288179569346064,0.25680052171153067,5.332438459915605
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4131595049106696,-0.2702929194723025,-0.7840699461041937,0.19515242946170136,-0.8216180619444433,-0.7534315984425315,-0.7086318078407263,0.36986670067258204,0.4870515600284291,-0.9719967384321548,0.06828893633397289,-1.1982670089929068,-0.9251203987935337,-0.9207557547046619,-0.5744691897244197,-1.1139110681091728,-1.0244784431422438,-0.5514364295819557,-0.34073493697317697,-1.5327001673347205,-0.68908934169178,1.207601441047257,-1.0072061072280452,-0.39160511232693634,-0.2307238819890935,-0.7699097836735579,-0.6860397810879743,-1.2299269221887101,-0.775785874776296,-1.0037222876909293,5.021189299069938
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5122270165401135,0.5347202622607488,-0.7840699461041937,0.5350975014719773,-0.8216180619444433,1.2373429502877347,-0.16776991468365895,2.377602493504777,0.5343447481704382,0.09067249514351002,1.1073804520593027,-1.1982670089929068,-0.9251203987935337,-0.2787508482657738,0.04158023020245661,-1.2577393438987254,-1.0244784431422438,-0.6625263480718243,-0.43995013049387116,-0.46400711201731937,0.4608925780869877,-0.748018732065942,-1.0072061072280452,0.6702395248195588,-0.2307238819890935,0.7435217467331342,-0.6860397810879743,-0.33932953936688753,-0.06288179569346064,0.15416922825287524,5.235528446907549
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.18200197777530072,0.5347202622607488,-0.7840699461041937,0.13577450005952837,1.0874356702205865,1.2373429502877347,-0.7086318078407263,-0.7411333427918738,1.1018630058745478,2.007403837920864,1.4316683536702846,0.8892440102472671,2.1745098033497494,1.0052589646120025,-0.5744691897244197,-0.7783117579335502,0.7894437397821288,-0.2922266197722624,-0.10923281875822385,1.673378998617483,2.5351093895124324,0.23446987165121547,0.30932078483042774,2.525498275628088,-0.2307238819890935,2.2569532771398264,1.0453375784308572,1.2670366407343678,0.6500222833893747,2.209426669053128,5.38738982633873
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7756506346426563,0.9372268531272743,0.8623620355527198,0.4789326634876709,-0.8216180619444433,1.2373429502877347,-0.19781779763682936,0.9412381515971593,0.20329243117637433,0.019886468826239016,0.805929726618108,-0.1545114993728199,0.6246947022781079,-0.2787508482657738,-0.5744691897244197,0.6599709999619752,0.7894437397821288,0.7816425922964673,0.8498473852751534,0.6046859433000819,-0.6041022252185224,0.047329185228899756,0.30932078483042774,-0.2823325098465364,-0.11169474802923124,-0.7699097836735579,-0.6860397810879743,0.27771252725331297,-0.775785874776296,0.02127486108205224,5.278524964737017
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8086731385191375,0.9372268531272743,0.8083421559833774,-0.01614046217719987,-0.8216180619444433,1.2373429502877347,-0.16776991468365895,2.1157239118310125,0.39246518374441086,-0.0414685677543421,0.37430709700912496,0.8892440102472671,0.6246947022781079,0.36325405817311435,-0.4603859638120352,0.6599709999619752,0.7894437397821288,0.8186725651264235,0.8829191164487181,0.6046859433000819,-0.609413919998101,-0.008813020697794959,0.30932078483042774,-0.2870834925630755,-0.11169474802923124,0.7435217467331342,-0.6860397810879743,0.22629235503496295,-0.06288179569346064,-0.0142513558844054,5.291146761731886
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9077406501485813,0.9372268531272743,-0.7840699461041937,-0.6662131178399507,1.0874356702205865,-0.7534315984425315,-0.7086318078407263,-0.7411333427918738,-1.357382777509927,-1.5000464315999016,0.4062791436468274,0.8892440102472671,-0.9251203987935337,-0.2787508482657738,-0.5744691897244197,0.8037992757515277,0.7894437397821288,0.9297624836162921,0.9821343099694123,0.6046859433000819,0.4847952045950914,0.515180901284689,0.30932078483042774,0.6916189470439849,2.193265172138721,0.7435217467331342,1.0453375784308572,-0.3208182773682815,1.36292636247221,0.17785337289718034,5.329397879361043
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.6105381152602499,0.5347202622607488,-0.7840699461041937,-0.6552886070192045,-0.8216180619444433,-0.7534315984425315,0.5233313932392605,-0.7411333427918738,-1.2627964012259087,-1.6423901164668497,-0.3998731751466702,0.8892440102472671,-0.9251203987935337,-0.9207557547046619,-0.5744691897244197,0.3723144483828701,0.7894437397821288,0.5964927281466863,0.6844887294073297,-0.46400711201731937,0.3307560559873119,0.15961359708228917,0.30932078483042774,0.5538404482643502,2.193265172138721,0.7435217467331342,1.0453375784308572,-0.4401130769148536,1.36292636247221,0.025222218522769752,5.282168778304642
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.7096056268896936,0.9372268531272743,-0.7840699461041937,-0.6059355228407751,1.0874356702205865,-0.7534315984425315,1.5750072966002249,1.1396310165015262,-1.4519691537939452,-0.8177784248238397,1.6942958796228405,0.8892440102472671,0.6246947022781079,-0.9207557547046619,-0.5744691897244197,0.5640854827689401,0.7894437397821288,0.7075826466365549,0.7837039229280239,0.6046859433000819,1.2231207789565173,0.6368223474591942,0.30932078483042774,1.3021202261192628,2.193265172138721,0.7435217467331342,1.0453375784308572,0.25097403769977095,1.36292636247221,0.8817987831584706,5.37383114507383
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.8416956423956188,-1.0753061012053537,1.0385138167570973,-0.3346220835161276,-0.8216180619444433,1.2373429502877347,0.19280468075438598,0.36986670067258204,-0.45881220281175344,0.4493717248903068,-1.0004909084120805,-0.1545114993728199,0.6246947022781079,0.36325405817311435,-0.5744691897244197,0.7079137585584927,0.7894437397821288,0.8557025379563797,0.9159908476222828,0.6046859433000819,-0.3385174862395922,-0.13981150119341595,0.30932078483042774,-0.12555008020074515,-0.11169474802923124,0.7435217467331342,-0.6860397810879743,0.6376537327817633,0.6500222833893747,0.33837924215302595,5.276461804173244
